RecAreaName,GEOJSON,GEOJSON.COORDINATES,GEOJSON.TYPE,Keywords,LastUpdatedDate,OrgRecAreaID,RecAreaDescription,RecAreaDirections,RecAreaEmail,RecAreaFeeDescription,RecAreaID,RecAreaLatitude,RecAreaLongitude,RecAreaMapURL,RecAreaPhone,RecAreaReservationURL,StayLimit,RecAreaName
Channel Islands National Park,,"[-119.26687, 34.2480594]",Point,,2016-10-11,,"Channel Islands National Park encompasses five remarkable islands and their ocean environment, preserving and protecting a wealth of natural and cultural resources. Isolation over thousands of years has created unique animals, plants, and archeological resources found nowhere else on Earth and helped preserve a place where visitors can experience coastal southern California as it once was.","Directions
http://www.nps.gov/chis/planyourvisit/directions.htm
While the mainland visitor centers in Ventura and Santa Barbara are readily accessible by car or public transportation, the islands are only accessible by park concessionaire boats and planes or private boat. Advanced planning is highly recommended.
The Robert J. Lagomarsino Visitor Center at Channel Islands National Park
1901 Spinnaker Drive
Ventura, CA 93001
(805) 658-5730
The visitor center is located in the Ventura Harbor in Ventura, California. Ventura is located 70 miles north of Los Angeles and 30 miles south of Santa Barbara. Plane, train, and bus service are all available to Los Angeles and Santa Barbara. Only train, bus, and private car transportation are available from Los Angeles and Santa Barbara to Ventura.
Fees
http://www.nps.gov/chis/planyourvisit/feesandreservations.htm
There are no entrance fees to visit the park.",chis_information@nps.gov,,2631,34.2480594,-119.26687,http://www.nps.gov/chis/planyourvisit/maps.htm,(805) 658 5730,,,Channel Islands National Park
Congaree National Park,,"[-80.7971115112, 33.9066505432]",Point,,2016-10-11,,"Astonishing biodiversity exists in Congaree National Park, the largest intact expanse of old growth bottomland hardwood forest remaining in the southeastern United States.   Waters from the Congaree and Wateree Rivers sweep through the floodplain, carrying nutrients and sediments that nourish and rejuvenate this ecosystem and support the growth of national and state champion trees.",,cong_information@nps.gov,,2644,33.9066505432,-80.7971115112,http://www.nps.gov/cong/planyourvisit/maps.htm,,,,Congaree National Park
Crater Lake National Park,,"[-122.13429451, 42.8966964816]",Point,,2016-10-11,,"Crater Lake inspires awe. Native Americans witnessed it form 7,700 years ago, when a violent eruption triggered the collapse of a towering volcano. Scientists marvel at its purity: fed by rain and snow, it's the deepest lake in the USA and perhaps the most pristine on earth. Artists, photographers, and sightseers stand in wonder at its blue water and stunning setting. Come visit, and be amazed!",,craterlake@nps.gov,,2647,42.8966964816,-122.13429451,http://www.nps.gov/crla/planyourvisit/maps.htm,(541) 594 3000,,,Crater Lake National Park
Cuyahoga Valley National Park,,"[-81.558754, 41.263092]",Point,,2016-10-11,,"Though a short distance from the urban areas of Cleveland and Akron, Cuyahoga Valley National Park seems worlds away. The park is a refuge for native plants and wildlife, and provides routes of discovery for visitors. The winding Cuyahoga River gives way to deep forests, rolling hills, and open farmlands. Walk or ride the Towpath Trail to follow the historic route of the Ohio & Erie Canal.","<p>The park is located in northeastern Ohio between the cities of Cleveland and Akron.</p>
<p>By Plane:<br />
Cleveland Hopkins International Airport (15 miles) and Akron-Canton Regional Airport (20 miles) offer many daily flights to the area.</p>
<p>By Car:<br />
Cuyahoga Valley National Park can be accessed by many different highways, including I-77, I-271, I-80 (Ohio Turnpike), and State Route 8. Park signs are visible from each of these freeways as you get close to the valley. For more details, call (330) 657-2752.</p>
<p>By Bus:<br />
Bus stations are located in downtown Cleveland and Akron.<br />
 </p>",cuva_info@nps.gov,,2652,41.263092,-81.558754,http://www.nps.gov/cuva/planyourvisit/maps.htm,,,,Cuyahoga Valley National Park
Denali National Park & Preserve,,,,,2016-10-11,,"Denali is six million acres of wild land, bisected by one ribbon of road. Travelers along it see the relatively low-elevation taiga forest give way to high alpine tundra and snowy mountains, culminating in North America's tallest peak, 20,310' Denali. Wild animals large and small roam un-fenced lands, living as they have for ages. Solitude, tranquility and wilderness await.",You can reach Denali from Anchorage or Fairbanks via Alaska State Highway 3. Visit http://www.nps.gov/dena/planyourvisit/directions.htm for more details.,denali_info@nps.gov,,2658,63.1148,-151.1926,http://www.nps.gov/dena/planyourvisit/maps.htm,(907) 683 2294,,,Denali National Park & Preserve
Death Valley National Park,"{'TYPE': 'Point', 'COORDINATES': [-116.866666667, 36.4616666667]}",,,,2016-10-11,,"In this below-sea-level basin, steady drought and record summer heat make Death Valley a land of extremes. Yet, each extreme has a striking contrast. Towering peaks are frosted with winter snow. Rare rainstorms bring vast fields of wildflowers. Lush oases harbor tiny fish and refuge for wildlife and humans. Despite its morbid name, a great diversity of life survives in Death Valley.",http://www.nps.gov/deva/planyourvisit/directions.htm,deva_information@nps.gov,,2662,36.4616666667,-116.866666667,http://www.nps.gov/deva/planyourvisit/maps.htm,(760) 786 3200,,,Death Valley National Park
Dry Tortugas National Park,"{'TYPE': 'Point', 'COORDINATES': [-82.9223480225, 24.6295833588]}",,,,2016-10-11,,"Almost 70 miles (113 km) west of Key West lies the remote Dry Tortugas National Park. The 100-square mile park is mostly open water with seven small islands.  Accessible only by boat or seaplane, the park is known the world over as the home of magnificent Fort Jefferson, picturesque blue waters, superlative coral reefs and marine life,   and the vast assortment of bird life that frequent the area.",,DRTO_Information@nps.gov,,2665,24.6295833588,-82.9223480225,http://www.nps.gov/drto/planyourvisit/maps.htm,,,,Dry Tortugas National Park
Everglades National Park,"{'TYPE': 'Point', 'COORDINATES': [-80.9548873901, 25.3716144562]}",,,,2016-10-11,,"Everglades National Park protects an unparalleled landscape that provides important habitat for numerous rare and endangered species like the manatee,  American crocodile, and the elusive Florida panther.

An international treasure as well -  a World Heritage Site, International Biosphere Reserve, a Wetland of International Importance, and a specially protected areas under the Cartagena Treaty.",http://www.nps.gov/ever/planyourvisit/index.htm,EVER_Information@nps.gov,,2677,25.3716144562,-80.9548873901,http://www.nps.gov/ever/planyourvisit/maps.htm,,,,Everglades National Park
Gates Of The Arctic National Park & Preserve,,,,,2016-10-11,,"This vast landscape does not contain any roads or trails. Visitors discover intact ecosystems where people have lived with the land for thousands of years. Wild rivers meander through glacier-carved valleys, caribou migrate along age-old trails, endless summer light fades into aurora-lit night skies of winter. It remains virtually unchanged except by the forces of nature.",,GAAR_Visitor_Information@nps.gov,,2716,67.9204,-153.2753,http://www.nps.gov/gaar/planyourvisit/maps.htm,(907) 692 5494,,,Gates Of The Arctic National Park & Preserve
Glacier National Park,,,,,2016-10-11,,"Come and experience Glacier's pristine forests, alpine meadows, rugged mountains, and spectacular lakes. With over 700 miles of trails, Glacier is a hiker's paradise for adventurous visitors seeking wilderness and solitude. Relive the days of old through historic chalets, lodges, and transportation. Hear the stories of Native Americans. Explore Glacier National Park and discover what awaits you.","<p>Glacier National Park is located in the northwest corner of Montana along the spine of the Rocky Mountains.</p>
<p>By Car<br />
The West Glacier Entrance is accessible from U.S. Highway 2. All three east side entrances (St. Mary, Two Medicine, or Many Glacier) can be reached from Highway 89, then following signage to the respective entrance.</p>
<p>By Plane<br />
Glacier Park International Airport in Kalispell, Montana is 25 miles west of park headquarters in West Glacier, Montana. There are also airports in Great Falls, Montana (between 130 miles to 165 miles east of East Glacier Park, St Mary, Two Medicine and Many Glacier Entrances) and Missoula, Montana (156 miles south of West Glacier).</p>
<p>Car rentals are available at airports. Shuttles are available at the Kalispell airport.</p>
<p>By Train<br />
Amtrak services both East Glacier and West Glacier. Glacier Park Inc., provides a shuttle service at these locations. Please call them at 406-892-2525 for more information.<br />
 </p>",glac_questions@nps.gov,,2725,48.7596,-113.787,http://www.nps.gov/glac/planyourvisit/maps.htm,,,,Glacier National Park
Glacier Bay National Park & Preserve,,"[-136.967208862, 58.819519043]",Point,,2016-10-11,,"Covering 3.3 million acres of rugged mountains, dynamic glaciers, temperate rainforest, wild coastlines and deep sheltered fjords, Glacier Bay National Park is a highlight of Alaska's Inside Passage and part of a 25-million acre World Heritage Site—one of the world's largest international protected areas. From sea to summit, Glacier Bay offers limitless opportunities for adventure and inspiration.","Glacier Bay National Park and Preserve lies west of Juneau, AK and can only be reached by plane or boat. The only road merely connects the small town of Gustavus and its airfield to park headquarters at Bartlett Cove (10 miles). 

Alaska Airlines provides daily jet service from Juneau to Gustavus (about 30 minutes) in the summer season. Year-round scheduled air service to Gustavus is also provided by a variety of small air taxis and charters.

Many visitors arrive in Glacier Bay as passengers on board cruise ships, tour boats, charter boats, and their own private vessels.

The Alaska Marine Highway system now provides regular ferry service to Gustavus. The ferry dock is located in Gustavus, 9 miles from Glacier Bay park headquarters in Bartlett Cove. Check the AMHS website for schedules, times, and rates. If you are planning on bringing a vehicle, please be aware that vehicle based activities may be limited.

For more information, please visit:
http://www.nps.gov/glba/planyourvisit/directions.htm",glba_administration@nps.gov,,2726,58.819519043,-136.967208862,http://www.nps.gov/glba/planyourvisit/maps.htm,,,,Glacier Bay National Park & Preserve
Great Basin National Park,,"[-114.218688965, 39.004588404]",Point,,2016-10-11,,"From the 13,000-foot summit of Wheeler Peak, to the sage-covered foothills, Great Basin National Park is a place to sample the stunning diversity of the larger Great Basin region. Come and partake of the solitude of the wilderness, walk among ancient bristlecone pines, bask in the darkest of night skies, and explore mysterious subterranean passages. There's a whole lot more than just desert here!",http://www.nps.gov/grba/planyourvisit/directions.htm,grba_interpretation@nps.gov,,2732,39.004588404,-114.218688965,http://www.nps.gov/grba/planyourvisit/maps.htm,,,,Great Basin National Park
Grand Canyon National Park,,"[-112.137232572, 36.0567889363]",Point,,2016-10-11,,"Unique combinations of geologic color and erosional forms decorate a canyon that is 277 river miles (446km) long, up to 18 miles (29km) wide, and a mile (1.6km) deep. Grand Canyon overwhelms our senses through its immense size 

All South Rim roads are open. The North Rim is open for the season.",http://www.nps.gov/grca/planyourvisit/directions.htm,grca_information@nps.gov,,2733,36.0567889363,-112.137232572,http://www.nps.gov/grca/planyourvisit/maps.htm,(928) 638 7888,,,Grand Canyon National Park
Great Sand Dunes National Park & Preserve,,"[-105.512001038, 37.7328987122]",Point,,2016-10-11,,"The tallest dunes in North America are the centerpiece in a diverse landscape of grasslands, wetlands, conifer and aspen forests, alpine lakes, and tundra. Experience this diversity through hiking, sand sledding, splashing in Medano Creek, wildlife watching, and more!","http://www.nps.gov/grsa/planyourvisit/directions.htm
To access the main park area, including the Dunes Parking Lot, Visitor Center, and Pinyon Flats Campground, take Highway 150 from the south or County Road 6 from the west. Both are paved highways. DO NOT USE COMPUTER MAPPING PROGRAMS IN THE ROCKY MOUNTAINS FOR HIGHWAY TRAVEL. The most commonly used web and dashboard mapping programs have directed visitors to drive over hiking trails or primitive 4WD roads to reach the park. Numerous visitors have become stranded in snow or stuck at a remote trailhead trying to use GPS to reach the main park area. Use the map shown, or any Colorado highway map.",grsa_interpretation@nps.gov,,2738,37.7328987122,-105.512001038,http://www.nps.gov/grsa/planyourvisit/maps.htm,719-378-6399,,,Great Sand Dunes National Park & Preserve
Great Smoky Mountains National Park,,"[-83.5369169712, 35.6852775067]",Point,,2016-10-11,,"Ridge upon ridge of forest straddles the border between North Carolina and Tennessee in Great Smoky Mountains National Park. World renowned for its diversity of plant and animal life, the beauty of its ancient mountains, and the quality of its remnants of Southern Appalachian mountain culture, this is America's most visited national park.","The park has three main entrances: Cherokee in North Carolina, and Gatlinburg and Townsend in Tennessee. Please visit the park's website at http://www.nps.gov/grsm/planyourvisit/directions.htm for directions to these entrances.",,,2739,35.6852775067,-83.5369169712,http://www.nps.gov/grsm/planyourvisit/maps.htm,,,,Great Smoky Mountains National Park
Guadalupe Mountains National Park,,,,,2016-10-11,,"Guadalupe Mountains National Park is the world's premier example of a fossil reef from the Permian Era.  The park is known for its extensive hiking and backpacking opportunities in one of the nation's most pristine wilderness areas.  Birding, history, and many other opportunities to learn and have fun await visitors in this hidden gem of West Texas.","<p><strong>By Car<br />
</strong>Guadalupe Mountains National Park is located in far West Texas on U.S. Highway 62/180. The driving distance is 110 miles east of El Paso, Texas, or 56 miles southwest of Carlsbad, New Mexico.</p>
<p>Visitors traveling to Dog Canyon, on the park's north side, can access the area via New Mexico State Road 137.</p>
<p><strong>By Plane<br />
</strong>The closest large commercial airline service is El Paso, Texas. Other airlines serve Albuquerque, New Mexico, Lubbock and Midland, Texas and Mesa Airlines offers passenger service between Albuquerque and Carlsbad, New Mexico.</p>
<p><strong>Public Transportation<br />
</strong>There is no public transportation or shuttle service available in the park.</p>",gumo_superintendent@nps.gov,,2744,31.9452,-104.8725,http://www.nps.gov/gumo/planyourvisit/maps.htm,(915) 828 3251,,,Guadalupe Mountains National Park
Haleakalā National Park,,,,,2016-10-11,,"This special place vibrates with stories of ancient and modern Hawaiian culture and protects the bond between the land and its people. The park also cares for endangered species, some of which exist nowhere else. Come visit this special place - renew your spirit amid stark volcanic landscapes and sub-tropical rain forest with an unforgettable hike through the backcountry.",,,,2751,20.7204,-156.1552,http://www.nps.gov/hale/planyourvisit/maps.htm,(808) 572 4400,,,Haleakalā National Park
Hawai'i Volcanoes National Park,,"[-155.327972412, 19.3577289581]",Point,,2016-10-11,,"Volcanoes are monuments to Earth's origin, evidence that its primordial forces are still at work. During a volcanic eruption, we are reminded that our planet is an ever-changing environment whose basic processes are beyond human control. As much as we have altered the face of the Earth to suit our needs, we can only stand in awe before the power of an eruption.",http://www.nps.gov/havo/planyourvisit/directions.htm,HAVO_interpretation@nps.gov,,2753,19.3577289581,-155.327972412,http://www.nps.gov/havo/planyourvisit/maps.htm,(808) 985 6000,,,Hawai'i Volcanoes National Park
Hot Springs National Park,,"[-93.0522232056, 34.5094413757]",Point,,2016-10-11,,"Water. That's what first attracted people, and they have been coming here ever since to use these soothing thermal waters to heal and relax. Rich and poor alike came for the baths, and a thriving city built up around the hot springs. Together nicknamed ""The American Spa,"" Hot Springs National Park today surrounds the north end of the city of Hot Springs, Arkansas. Come discover it for yourself.","http://www.nps.gov/hosp/planyourvisit/directions.htm

Driving Directions

Hot Springs National Park is in downtown Hot Springs; Bathhouse Row is on Central Avenue with the mountains of the park flanking the street. Visitors traveling north-south on I-30 take the Hot Springs US 70 West exit south of Benton, the Hot Springs US 270 West exit at Malvern, or the Hot Springs Ark. 7 North exit near Arkadelphia. Visitors traveling south on Ark. 7 will come through downtown Hot Springs where the visitor center is located. Visitors traveling south on US 71 from Fort Smith, or north on US 71 from Texarkana, take the US 270 East exit and take 270B through town. Visitors coming from Oklahoma on US 70 would take US 70B into Hot Springs. When you get into the city you will see signs for the National Park. The Visitor Center is located downtown on Highway 7 North or Central Avenue.",HOSP_Interpretation@nps.gov,,2760,34.5094413757,-93.0522232056,http://www.nps.gov/hosp/planyourvisit/maps.htm,(501) 624 2701,,,Hot Springs National Park
Isle Royale National Park,,"[-88.7701721191, 48.030620575]",Point,,2016-10-11,,"Explore a rugged, isolated island, far from the sights and sounds of civilization. Surrounded by Lake Superior, Isle Royale offers unparalleled solitude and adventures for backpackers, hikers, boaters, kayakers, canoeists and scuba divers. Here, amid stunning scenic beauty, you'll find opportunities for reflection and discovery, and make memories that last a lifetime.",,ISRO_ParkInfo@nps.gov,,2769,48.030620575,-88.7701721191,http://www.nps.gov/isro/planyourvisit/maps.htm,,,,Isle Royale National Park
Joshua Tree National Park,,"[-116.019618, 34.020558]",Point,,2016-10-11,,"Two distinct desert ecosystems, the Mojave and the Colorado, come together in Joshua Tree National Park. A fascinating variety of plants and animals make their homes in a land sculpted by strong winds and occasional torrents of rain. Dark night skies, a rich cultural history, and surreal geologic features add to the wonder of this vast wilderness in southern California. Come explore for yourself.","Joshua Tree National Park is located about 140 miles east of Los Angeles, 175 miles northeast of San Diego, 215 miles southwest of Las Vegas, Nevada, and 222 miles west of Phoenix, Arizona. You can approach Joshua Tree from Interstate 10 or California Highway 62 (the Twentynine Palms Highway). See http://www.nps.gov/jotr/planyourvisit/directions.htm for more information.

Do not rely on GPS directions to navigate to or within Joshua Tree National Park! Vehicle navigation systems sometimes try to route you onto backcountry roads with ruts or soft sand that may be impassable to your vehicle.",jotr_info@nps.gov,,2782,34.020558,-116.019618,http://www.nps.gov/jotr/planyourvisit/maps.htm,(760) 367 5500,,,Joshua Tree National Park
Katmai National Park & Preserve,,,,,2014-01-27,,"Katmai National Monument was established in 1918 to protect the volcanically devastated region surrounding Mount Katmai and the Valley of Ten Thousand Smokes. Today, Katmai National Park and Preserve remains an active volcanic landscape, but it also protects 9,000 years of human history as well as important habitat for salmon and the thousands of brown bears that feed on them.","Katmai National Park & Preserve is located on the Alaska Peninsula, across the Shelikof Strait from Kodiak Island. Park Headquarters is in King Salmon, about 290 air miles southwest of Anchorage. Several commercial airlines provide daily flights into King Salmon as there is no road access. Brooks Camp, approximately 30 air miles from King Salmon, is a common destination for visitors to the Park. Brooks Camp can only be reached via small float plane or boat.",KATM_Visitor_Information@nps.gov,,2786,58.5975,-154.6937,http://www.nps.gov/katm/planyourvisit/maps.htm,,,,Katmai National Park & Preserve
Kenai Fjords National Park,,"[-150.246566772, 59.7971000671]",Point,,2016-10-11,,"At the edge of the Kenai Peninsula lies a land where the ice age lingers. Nearly 40 glaciers flow from the Harding Icefield, Kenai Fjords' crowning feature. Wildlife thrives in icy waters and lush forests around this vast expanse of ice. Native Alutiiq relied on these resources to nurture a life entwined with the sea. Today, shrinking glaciers bear witness to the effects of our changing climate.","Kenai Fjords National Park is located just outside the town of Seward in south-central Alaska, 126 miles south of Anchorage. Seward is accessible year-round via the Seward Highway, a National Scenic Byway. 

Follow the Seward Highway (AK-1) south from Anchorage. It will become AK-9 around mile 35 (87 miles from Anchorage) with AK-1 heading to Homer and Kenai. Continue on AK-9 to Seward.

- Information Center (summer only): Turn left on S. Harbor Street (mile post 1). Go one block, and turn right on Fourth Street. It will be the second building on the left. 

- Exit Glacier Area / Nature Center / trails / campground (summer only): Turn right on to Herman Leirer Road (mile 3), and proceed 8 miles. The road will end at the parking lot for the nature center.

- Administrative Offices (contact station for winter): Turn left on Washington Street (mile post 0). Continue across Fourth Street, and building will be on right.",kefj_information@nps.gov,,2787,59.7971000671,-150.246566772,http://www.nps.gov/kefj/planyourvisit/maps.htm,(907) 422 0500,,,Kenai Fjords National Park
